,road,id,model_type,name,lat,lon,length,condition,bridge_length
1183,N1,1001183,link,,21.1058333,92.20725,69.99999999999318,,
1184,N1,1001184,bridge,,21.1053611,92.2073889,64.00000000002137,C,1.2
1185,N1,1001185,bridge,,21.1043611,92.2075278,120.00000000000455,C,1.2
1186,N1,1001186,bridge,,21.1026389,92.2077778,206.99999999999363,A,6.2
1187,N1,1001187,bridge,,21.1012778,92.2081389,171.99999999996862,A,6.2
1188,N1,1001188,bridge,,21.0996386,92.2091667,220.00000000002728,A,6.2
1189,N1,1001189,link,,21.0975552,92.2105,284.99999999996817,,
1190,N1,1001190,bridge,,21.097333,92.2106111,28.00000000002001,B,32.1
1191,N1,1001191,bridge,,21.0939441,92.2118611,399.0000000000009,B,32.1
1192,N1,1001192,link,,21.0936663,92.2119444,36.000000000001364,,
1193,N1,1001193,bridge,,21.0923052,92.2123333,158.00000000001546,B,32.1
1194,N1,1001194,bridge,,21.090333,92.2129444,235.00000000001364,B,32.1
1195,N1,1001195,link,,21.0891941,92.2135,143.9999999999486,,
1196,N1,1001196,bridge,,21.0864997,92.2151111,346.00000000000364,A,4.4
1197,N1,1001197,bridge,,21.0859441,92.2153889,68.00000000004047,A,2.9
1198,N1,1001198,bridge,,21.0838608,92.2161111,252.9999999999859,A,4.4
1199,N1,1001199,link,,21.0811104,92.2169438,332.99999999997,,
1200,N1,1001200,bridge,,21.0803049,92.2174993,105.00000000001819,A,2.8
1201,N1,1001201,bridge,,21.0783327,92.2186382,261.0000000000241,A,2.8
1202,N1,1001202,bridge,,21.077916,92.2189993,58.99999999996908,A,1.9
1203,N1,1001203,bridge,,21.0765549,92.2209993,259.9999999999909,A,2.8
1204,N1,1001204,bridge,,21.0745271,92.2220549,259.00000000001455,A,2.8
1205,N1,1001205,link,,21.0735271,92.2226104,146.000000000015,,
1206,N1,1001206,bridge,,21.0728327,92.2232216,110.00000000001364,B,45.6
1207,N1,1001207,bridge,,21.071666,92.2242216,181.99999999995953,B,45.6
1208,N1,1001208,bridge,,21.0691104,92.2246382,312.0000000000118,B,2.8
1209,N1,1001209,bridge,,21.0668882,92.2246104,250.0,B,45.6
1210,N1,1001210,link,,21.0655833,92.2245549,146.000000000015,,
1211,N1,1001211,bridge,,21.0650556,92.2245271,77.99999999997453,C,12.5
1212,N1,1001212,bridge,,21.063,92.2254993,261.0000000000241,C,12.5
1213,N1,1001213,bridge,,21.0615556,92.2262771,187.99999999998818,C,12.5
1214,N1,1001214,bridge,,21.0597778,92.2263882,204.00000000000773,C,12.5
1215,N1,1001215,link,,21.0596667,92.2263882,14.999999999986358,,
1216,N1,1001216,link,,21.0565833,92.2266104,341.99999999998454,,
1217,N1,1001217,bridge,,21.0549722,92.2268049,184.00000000002592,C,29.9
1218,N1,1001218,bridge,,21.0513611,92.2302493,648.0000000000246,C,29.9
1219,N1,1001219,link,,21.0513611,92.2305827,37.99999999995407,,
1220,N1,1001220,link,,21.0513056,92.2317493,125.0,,
1221,N1,1001221,bridge,,21.0512778,92.2323327,64.00000000002137,C,1.2
1222,N1,1001222,bridge,,21.0507222,92.2338608,189.00000000002137,C,1.2
1223,N1,1001223,bridge,,21.0479441,92.2346386,327.99999999997453,C,1.2
1224,N1,1001224,bridge,,21.0446941,92.2356941,381.00000000002865,C,1.2
1225,N1,1001225,link,,21.0439163,92.2359441,86.99999999998909,,
1226,N1,1001226,bridge,,21.0407497,92.2374997,396.99999999999136,A,36.6
1227,N1,1001227,bridge,,21.0363608,92.2396941,540.0000000000205,A,36.6
1228,N1,1001228,link,,21.0360552,92.2398608,40.99999999999682,,
1229,N1,1001229,link,,21.0338608,92.2407774,270.99999999995816,,
1230,N1,1001230,bridge,,21.0321104,92.241083,203.00000000003138,A,1.2
1231,N1,1001231,bridge,,21.0300549,92.2413608,233.0000000000041,B,8.8
1232,N1,1001232,bridge,,21.0269438,92.2416941,353.999999999985,A,1.2
1233,N1,1001233,link,,21.0249993,92.2418608,209.00000000000318,,
1234,N1,1001234,bridge,,21.0228882,92.2420274,243.99999999997135,A,9.2
1235,N1,1001235,link,,21.0226104,92.2420552,35.00000000002501,,
1236,N1,1001236,link,,21.0186104,92.2431386,483.99999999998045,,
1237,N1,1001237,bridge,,21.0169993,92.2440274,206.99999999999363,A,7.5
1238,N1,1001238,bridge,,21.0150833,92.245333,256.00000000002865,A,35.5
